denominazione_provincia,data,denominazione_regione,totale_casi
Pordenone,2020-04-28,Friuli Venezia Giulia,627
Sondrio,2020-04-28,Lombardia,1141
Ragusa,2020-04-28,Sicilia,89
Rovigo,2020-04-28,Veneto,424
Piacenza,2020-04-29,Emilia-Romagna,3993
Ravenna,2020-04-29,Emilia-Romagna,981
Gorizia,2020-04-29,Friuli Venezia Giulia,182
Trieste,2020-04-29,Friuli Venezia Giulia,1245
Pordenone,2020-04-29,Friuli Venezia Giulia,630
Sondrio,2020-04-29,Lombardia,1143
Ragusa,2020-04-29,Sicilia,89
Rovigo,2020-04-29,Veneto,426
Piacenza,2020-04-30,Emilia-Romagna,4062
Ravenna,2020-04-30,Emilia-Romagna,982
Gorizia,2020-04-30,Friuli Venezia Giulia,186
Trieste,2020-04-30,Friuli Venezia Giulia,1252
Pordenone,2020-04-30,Friuli Venezia Giulia,634
Sondrio,2020-04-30,Lombardia,1180
Ragusa,2020-04-30,Sicilia,91
Rovigo,2020-04-30,Veneto,427
Piacenza,2020-05-01,Emilia-Romagna,4115
Ravenna,2020-05-01,Emilia-Romagna,982
Gorizia,2020-05-01,Friuli Venezia Giulia,187
Trieste,2020-05-01,Friuli Venezia Giulia,1256
Pordenone,2020-05-01,Friuli Venezia Giulia,644
Sondrio,2020-05-01,Lombardia,1181
Ragusa,2020-05-01,Sicilia,92
Rovigo,2020-05-01,Veneto,430
Piacenza,2020-05-02,Emilia-Romagna,4175
Ravenna,2020-05-02,Emilia-Romagna,983
Gorizia,2020-05-02,Friuli Venezia Giulia,189
Trieste,2020-05-02,Friuli Venezia Giulia,1271
Pordenone,2020-05-02,Friuli Venezia Giulia,644
Sondrio,2020-05-02,Lombardia,1181
Ragusa,2020-05-02,Sicilia,92
Rovigo,2020-05-02,Veneto,430
Piacenza,2020-05-03,Emilia-Romagna,4214
Ravenna,2020-05-03,Emilia-Romagna,986
Gorizia,2020-05-03,Friuli Venezia Giulia,189
Trieste,2020-05-03,Friuli Venezia Giulia,1281
Pordenone,2020-05-03,Friuli Venezia Giulia,645
Sondrio,2020-05-03,Lombardia,1181
Ragusa,2020-05-03,Sicilia,92
Rovigo,2020-05-03,Veneto,431
Piacenza,2020-05-04,Emilia-Romagna,4251
Ravenna,2020-05-04,Emilia-Romagna,986
Gorizia,2020-05-04,Friuli Venezia Giulia,189
Trieste,2020-05-04,Friuli Venezia Giulia,1284
Pordenone,2020-05-04,Friuli Venezia Giulia,646
Sondrio,2020-05-04,Lombardia,1210
Ragusa,2020-05-04,Sicilia,92
Rovigo,2020-05-04,Veneto,430
Piacenza,2020-05-05,Emilia-Romagna,4286
Ravenna,2020-05-05,Emilia-Romagna,986
Gorizia,2020-05-05,Friuli Venezia Giulia,189
Trieste,2020-05-05,Friuli Venezia Giulia,1292
Pordenone,2020-05-05,Friuli Venezia Giulia,646
Sondrio,2020-05-05,Lombardia,1223
Ragusa,2020-05-05,Sicilia,94
Rovigo,2020-05-05,Veneto,429
Piacenza,2020-05-06,Emilia-Romagna,4295
Ravenna,2020-05-06,Emilia-Romagna,990
Gorizia,2020-05-06,Friuli Venezia Giulia,190
Trieste,2020-05-06,Friuli Venezia Giulia,1298
Pordenone,2020-05-06,Friuli Venezia Giulia,647
Sondrio,2020-05-06,Lombardia,1230
Ragusa,2020-05-06,Sicilia,94
Rovigo,2020-05-06,Veneto,430
Piacenza,2020-05-07,Emilia-Romagna,4300
Ravenna,2020-05-07,Emilia-Romagna,993
Gorizia,2020-05-07,Friuli Venezia Giulia,192
Trieste,2020-05-07,Friuli Venezia Giulia,1300
Pordenone,2020-05-07,Friuli Venezia Giulia,648
Sondrio,2020-05-07,Lombardia,1266
Ragusa,2020-05-07,Sicilia,94
Rovigo,2020-05-07,Veneto,429
Piacenza,2020-05-08,Emilia-Romagna,4334
Ravenna,2020-05-08,Emilia-Romagna,993
Gorizia,2020-05-08,Friuli Venezia Giulia,194
Trieste,2020-05-08,Friuli Venezia Giulia,1306
Pordenone,2020-05-08,Friuli Venezia Giulia,649
Sondrio,2020-05-08,Lombardia,1276
Ragusa,2020-05-08,Sicilia,94
Rovigo,2020-05-08,Veneto,429
Piacenza,2020-05-09,Emilia-Romagna,4346
Ravenna,2020-05-09,Emilia-Romagna,995
Gorizia,2020-05-09,Friuli Venezia Giulia,195
Trieste,2020-05-09,Friuli Venezia Giulia,1311
Pordenone,2020-05-09,Friuli Venezia Giulia,650
Sondrio,2020-05-09,Lombardia,1280
Ragusa,2020-05-09,Sicilia,94
Rovigo,2020-05-09,Veneto,430
Piacenza,2020-05-10,Emilia-Romagna,4361
Ravenna,2020-05-10,Emilia-Romagna,997
Gorizia,2020-05-10,Friuli Venezia Giulia,195
Trieste,2020-05-10,Friuli Venezia Giulia,1316
Pordenone,2020-05-10,Friuli Venezia Giulia,651
Sondrio,2020-05-10,Lombardia,1287
Ragusa,2020-05-10,Sicilia,94
Rovigo,2020-05-10,Veneto,432
Piacenza,2020-05-11,Emilia-Romagna,4375
Ravenna,2020-05-11,Emilia-Romagna,999
Gorizia,2020-05-11,Friuli Venezia Giulia,195
Trieste,2020-05-11,Friuli Venezia Giulia,1322
Pordenone,2020-05-11,Friuli Venezia Giulia,651
Sondrio,2020-05-11,Lombardia,1288
Ragusa,2020-05-11,Sicilia,94
Rovigo,2020-05-11,Veneto,433
Piacenza,2020-05-12,Emilia-Romagna,4386
Ravenna,2020-05-12,Emilia-Romagna,999
Gorizia,2020-05-12,Friuli Venezia Giulia,196
Trieste,2020-05-12,Friuli Venezia Giulia,1328
Pordenone,2020-05-12,Friuli Venezia Giulia,654
Sondrio,2020-05-12,Lombardia,1317
Ragusa,2020-05-12,Sicilia,94
Rovigo,2020-05-12,Veneto,433
Piacenza,2020-05-13,Emilia-Romagna,4391
Ravenna,2020-05-13,Emilia-Romagna,999
Gorizia,2020-05-13,Friuli Venezia Giulia,197
Trieste,2020-05-13,Friuli Venezia Giulia,1329
Pordenone,2020-05-13,Friuli Venezia Giulia,659
Sondrio,2020-05-13,Lombardia,1321
Ragusa,2020-05-13,Sicilia,94
Rovigo,2020-05-13,Veneto,435
Piacenza,2020-05-14,Emilia-Romagna,4405
Ravenna,2020-05-14,Emilia-Romagna,1000
Gorizia,2020-05-14,Friuli Venezia Giulia,198
Trieste,2020-05-14,Friuli Venezia Giulia,1332
Pordenone,2020-05-14,Friuli Venezia Giulia,659
Sondrio,2020-05-14,Lombardia,1338
Ragusa,2020-05-14,Sicilia,94
Rovigo,2020-05-14,Veneto,436
Piacenza,2020-05-15,Emilia-Romagna,4412
Ravenna,2020-05-15,Emilia-Romagna,1005
Gorizia,2020-05-15,Friuli Venezia Giulia,199
Trieste,2020-05-15,Friuli Venezia Giulia,1341
Pordenone,2020-05-15,Friuli Venezia Giulia,662
Sondrio,2020-05-15,Lombardia,1339
Ragusa,2020-05-15,Sicilia,94
Rovigo,2020-05-15,Veneto,437
Piacenza,2020-05-16,Emilia-Romagna,4417
Ravenna,2020-05-16,Emilia-Romagna,1007
Gorizia,2020-05-16,Friuli Venezia Giulia,200
Trieste,2020-05-16,Friuli Venezia Giulia,1345
Pordenone,2020-05-16,Friuli Venezia Giulia,665
Sondrio,2020-05-16,Lombardia,1363
Ragusa,2020-05-16,Sicilia,94
Rovigo,2020-05-16,Veneto,437
Piacenza,2020-05-17,Emilia-Romagna,4422
Ravenna,2020-05-17,Emilia-Romagna,1012
Gorizia,2020-05-17,Friuli Venezia Giulia,203
Trieste,2020-05-17,Friuli Venezia Giulia,1348
Pordenone,2020-05-17,Friuli Venezia Giulia,667
Sondrio,2020-05-17,Lombardia,1367
Ragusa,2020-05-17,Sicilia,94
Rovigo,2020-05-17,Veneto,438
Piacenza,2020-05-18,Emilia-Romagna,4433
Ravenna,2020-05-18,Emilia-Romagna,1012
Gorizia,2020-05-18,Friuli Venezia Giulia,204
Trieste,2020-05-18,Friuli Venezia Giulia,1354
Pordenone,2020-05-18,Friuli Venezia Giulia,667
Sondrio,2020-05-18,Lombardia,1369
Ragusa,2020-05-18,Sicilia,94
Rovigo,2020-05-18,Veneto,439
Piacenza,2020-05-19,Emilia-Romagna,4436
Ravenna,2020-05-19,Emilia-Romagna,1015
Gorizia,2020-05-19,Friuli Venezia Giulia,205
Trieste,2020-05-19,Friuli Venezia Giulia,1357
Pordenone,2020-05-19,Friuli Venezia Giulia,668
Sondrio,2020-05-19,Lombardia,1378
Ragusa,2020-05-19,Sicilia,97
Rovigo,2020-05-19,Veneto,440
Piacenza,2020-05-20,Emilia-Romagna,4447
Ravenna,2020-05-20,Emilia-Romagna,1017
Gorizia,2020-05-20,Friuli Venezia Giulia,205
Trieste,2020-05-20,Friuli Venezia Giulia,1361
Pordenone,2020-05-20,Friuli Venezia Giulia,669
Sondrio,2020-05-20,Lombardia,1383
Ragusa,2020-05-20,Sicilia,97
Rovigo,2020-05-20,Veneto,440
Piacenza,2020-05-21,Emilia-Romagna,4449
Ravenna,2020-05-21,Emilia-Romagna,1018
Gorizia,2020-05-21,Friuli Venezia Giulia,205
Trieste,2020-05-21,Friuli Venezia Giulia,1365
Pordenone,2020-05-21,Friuli Venezia Giulia,670
Sondrio,2020-05-21,Lombardia,1404
Ragusa,2020-05-21,Sicilia,97
Rovigo,2020-05-21,Veneto,440
Piacenza,2020-05-22,Emilia-Romagna,4455
Ravenna,2020-05-22,Emilia-Romagna,1018
Gorizia,2020-05-22,Friuli Venezia Giulia,209
Trieste,2020-05-22,Friuli Venezia Giulia,1368
Pordenone,2020-05-22,Friuli Venezia Giulia,671
Sondrio,2020-05-22,Lombardia,1407
Ragusa,2020-05-22,Sicilia,97
Rovigo,2020-05-22,Veneto,441
Piacenza,2020-05-23,Emilia-Romagna,4457
Ravenna,2020-05-23,Emilia-Romagna,1018
Gorizia,2020-05-23,Friuli Venezia Giulia,210
Trieste,2020-05-23,Friuli Venezia Giulia,1372
Pordenone,2020-05-23,Friuli Venezia Giulia,672
Sondrio,2020-05-23,Lombardia,1414
Ragusa,2020-05-23,Sicilia,97
Rovigo,2020-05-23,Veneto,441
Piacenza,2020-05-24,Emilia-Romagna,4459
Ravenna,2020-05-24,Emilia-Romagna,1020
Gorizia,2020-05-24,Friuli Venezia Giulia,210
Trieste,2020-05-24,Friuli Venezia Giulia,1374
Pordenone,2020-05-24,Friuli Venezia Giulia,672
Sondrio,2020-05-24,Lombardia,1416
Ragusa,2020-05-24,Sicilia,97
Rovigo,2020-05-24,Veneto,442
Piacenza,2020-05-25,Emilia-Romagna,4464
Ravenna,2020-05-25,Emilia-Romagna,1020
Gorizia,2020-05-25,Friuli Venezia Giulia,210
Trieste,2020-05-25,Friuli Venezia Giulia,1377
Pordenone,2020-05-25,Friuli Venezia Giulia,673
Sondrio,2020-05-25,Lombardia,1426
Ragusa,2020-05-25,Sicilia,97
Rovigo,2020-05-25,Veneto,442
Piacenza,2020-05-26,Emilia-Romagna,4465
Ravenna,2020-05-26,Emilia-Romagna,1023
Gorizia,2020-05-26,Friuli Venezia Giulia,210
Trieste,2020-05-26,Friuli Venezia Giulia,1377
Pordenone,2020-05-26,Friuli Venezia Giulia,683
Sondrio,2020-05-26,Lombardia,1429
Ragusa,2020-05-26,Sicilia,97
Rovigo,2020-05-26,Veneto,442
Piacenza,2020-05-27,Emilia-Romagna,4469
Ravenna,2020-05-27,Emilia-Romagna,1023
Gorizia,2020-05-27,Friuli Venezia Giulia,212
Trieste,2020-05-27,Friuli Venezia Giulia,1378
Pordenone,2020-05-27,Friuli Venezia Giulia,684
Sondrio,2020-05-27,Lombardia,1431
Ragusa,2020-05-27,Sicilia,97
Rovigo,2020-05-27,Veneto,442
Piacenza,2020-05-28,Emilia-Romagna,4475
Ravenna,2020-05-28,Emilia-Romagna,1024
Gorizia,2020-05-28,Friuli Venezia Giulia,213
Trieste,2020-05-28,Friuli Venezia Giulia,1384
Pordenone,2020-05-28,Friuli Venezia Giulia,684
Sondrio,2020-05-28,Lombardia,1454
Ragusa,2020-05-28,Sicilia,97
Rovigo,2020-05-28,Veneto,442
Piacenza,2020-05-29,Emilia-Romagna,4475
Ravenna,2020-05-29,Emilia-Romagna,1026
Gorizia,2020-05-29,Friuli Venezia Giulia,214
Trieste,2020-05-29,Friuli Venezia Giulia,1385
Pordenone,2020-05-29,Friuli Venezia Giulia,686
Sondrio,2020-05-29,Lombardia,1459
Ragusa,2020-05-29,Sicilia,97
Rovigo,2020-05-29,Veneto,442
Piacenza,2020-05-30,Emilia-Romagna,4477
Ravenna,2020-05-30,Emilia-Romagna,1027
Gorizia,2020-05-30,Friuli Venezia Giulia,214
Trieste,2020-05-30,Friuli Venezia Giulia,1387
Pordenone,2020-05-30,Friuli Venezia Giulia,688
Sondrio,2020-05-30,Lombardia,1460
Ragusa,2020-05-30,Sicilia,97
Rovigo,2020-05-30,Veneto,442
Piacenza,2020-05-31,Emilia-Romagna,4487
Ravenna,2020-05-31,Emilia-Romagna,1028
Gorizia,2020-05-31,Friuli Venezia Giulia,214
Trieste,2020-05-31,Friuli Venezia Giulia,1388
Pordenone,2020-05-31,Friuli Venezia Giulia,688
Sondrio,2020-05-31,Lombardia,1463
Ragusa,2020-05-31,Sicilia,97
Rovigo,2020-05-31,Veneto,442
Piacenza,2020-06-01,Emilia-Romagna,4489
Ravenna,2020-06-01,Emilia-Romagna,1028
Gorizia,2020-06-01,Friuli Venezia Giulia,214
Trieste,2020-06-01,Friuli Venezia Giulia,1388
Pordenone,2020-06-01,Friuli Venezia Giulia,688
Sondrio,2020-06-01,Lombardia,1464
Ragusa,2020-06-01,Sicilia,97
Rovigo,2020-06-01,Veneto,442
Piacenza,2020-06-02,Emilia-Romagna,4493
Ravenna,2020-06-02,Emilia-Romagna,1028
Gorizia,2020-06-02,Friuli Venezia Giulia,214
Trieste,2020-06-02,Friuli Venezia Giulia,1388
Pordenone,2020-06-02,Friuli Venezia Giulia,688
Sondrio,2020-06-02,Lombardia,1468
Ragusa,2020-06-02,Sicilia,97
Rovigo,2020-06-02,Veneto,442
Piacenza,2020-06-03,Emilia-Romagna,4495
Ravenna,2020-06-03,Emilia-Romagna,1028
Gorizia,2020-06-03,Friuli Venezia Giulia,214
Trieste,2020-06-03,Friuli Venezia Giulia,1388
Pordenone,2020-06-03,Friuli Venezia Giulia,688
Sondrio,2020-06-03,Lombardia,1469
Ragusa,2020-06-03,Sicilia,97
Rovigo,2020-06-03,Veneto,442
Piacenza,2020-06-04,Emilia-Romagna,4496
Ravenna,2020-06-04,Emilia-Romagna,1028
Gorizia,2020-06-04,Friuli Venezia Giulia,214
Trieste,2020-06-04,Friuli Venezia Giulia,1389
Pordenone,2020-06-04,Friuli Venezia Giulia,689
Sondrio,2020-06-04,Lombardia,1471
Ragusa,2020-06-04,Sicilia,97
Rovigo,2020-06-04,Veneto,442
Piacenza,2020-06-05,Emilia-Romagna,4498
Ravenna,2020-06-05,Emilia-Romagna,1028
Gorizia,2020-06-05,Friuli Venezia Giulia,214
Trieste,2020-06-05,Friuli Venezia Giulia,1389
Pordenone,2020-06-05,Friuli Venezia Giulia,689
Sondrio,2020-06-05,Lombardia,1481
Ragusa,2020-06-05,Sicilia,97
Rovigo,2020-06-05,Veneto,442
Piacenza,2020-06-06,Emilia-Romagna,4500
Ravenna,2020-06-06,Emilia-Romagna,1028
Gorizia,2020-06-06,Friuli Venezia Giulia,214
Trieste,2020-06-06,Friuli Venezia Giulia,1389
Pordenone,2020-06-06,Friuli Venezia Giulia,691
Sondrio,2020-06-06,Lombardia,1481
Ragusa,2020-06-06,Sicilia,97
Rovigo,2020-06-06,Veneto,442
Piacenza,2020-06-07,Emilia-Romagna,4503
Ravenna,2020-06-07,Emilia-Romagna,1028
Gorizia,2020-06-07,Friuli Venezia Giulia,214
Trieste,2020-06-07,Friuli Venezia Giulia,1389
Pordenone,2020-06-07,Friuli Venezia Giulia,691
Sondrio,2020-06-07,Lombardia,1488
Ragusa,2020-06-07,Sicilia,98
Rovigo,2020-06-07,Veneto,442
Piacenza,2020-06-08,Emilia-Romagna,4506
Ravenna,2020-06-08,Emilia-Romagna,1030
Gorizia,2020-06-08,Friuli Venezia Giulia,214
Trieste,2020-06-08,Friuli Venezia Giulia,1390
Pordenone,2020-06-08,Friuli Venezia Giulia,691
Sondrio,2020-06-08,Lombardia,1492
Ragusa,2020-06-08,Sicilia,98
Rovigo,2020-06-08,Veneto,443
Piacenza,2020-06-09,Emilia-Romagna,4507
Ravenna,2020-06-09,Emilia-Romagna,1031
Gorizia,2020-06-09,Friuli Venezia Giulia,214
Trieste,2020-06-09,Friuli Venezia Giulia,1390
Pordenone,2020-06-09,Friuli Venezia Giulia,691
Sondrio,2020-06-09,Lombardia,1499
Ragusa,2020-06-09,Sicilia,98
Rovigo,2020-06-09,Veneto,443
Piacenza,2020-06-10,Emilia-Romagna,4514
Ravenna,2020-06-10,Emilia-Romagna,1031
Gorizia,2020-06-10,Friuli Venezia Giulia,214
Trieste,2020-06-10,Friuli Venezia Giulia,1390
Pordenone,2020-06-10,Friuli Venezia Giulia,691
Sondrio,2020-06-10,Lombardia,1499
Ragusa,2020-06-10,Sicilia,98
Rovigo,2020-06-10,Veneto,443
Piacenza,2020-06-11,Emilia-Romagna,4519
Ravenna,2020-06-11,Emilia-Romagna,1033
Gorizia,2020-06-11,Friuli Venezia Giulia,215
Trieste,2020-06-11,Friuli Venezia Giulia,1390
Pordenone,2020-06-11,Friuli Venezia Giulia,691
Sondrio,2020-06-11,Lombardia,1505
Ragusa,2020-06-11,Sicilia,98
Rovigo,2020-06-11,Veneto,443
Piacenza,2020-06-12,Emilia-Romagna,4521
Ravenna,2020-06-12,Emilia-Romagna,1034
Gorizia,2020-06-12,Friuli Venezia Giulia,215
Trieste,2020-06-12,Friuli Venezia Giulia,1391
Pordenone,2020-06-12,Friuli Venezia Giulia,692
Sondrio,2020-06-12,Lombardia,1516
Ragusa,2020-06-12,Sicilia,98
Rovigo,2020-06-12,Veneto,442
Piacenza,2020-06-13,Emilia-Romagna,4523
Ravenna,2020-06-13,Emilia-Romagna,1034
Gorizia,2020-06-13,Friuli Venezia Giulia,215
Trieste,2020-06-13,Friuli Venezia Giulia,1393
Pordenone,2020-06-13,Friuli Venezia Giulia,695
Sondrio,2020-06-13,Lombardia,1517
Ragusa,2020-06-13,Sicilia,98
Rovigo,2020-06-13,Veneto,443
Piacenza,2020-06-14,Emilia-Romagna,4523
Ravenna,2020-06-14,Emilia-Romagna,1035
Gorizia,2020-06-14,Friuli Venezia Giulia,215
Trieste,2020-06-14,Friuli Venezia Giulia,1393
Pordenone,2020-06-14,Friuli Venezia Giulia,695
Sondrio,2020-06-14,Lombardia,1523
Ragusa,2020-06-14,Sicilia,98
Rovigo,2020-06-14,Veneto,443
Piacenza,2020-06-15,Emilia-Romagna,4523
Ravenna,2020-06-15,Emilia-Romagna,1036
Gorizia,2020-06-15,Friuli Venezia Giulia,215
Trieste,2020-06-15,Friuli Venezia Giulia,1393
Pordenone,2020-06-15,Friuli Venezia Giulia,695
Sondrio,2020-06-15,Lombardia,1540
Ragusa,2020-06-15,Sicilia,98
Rovigo,2020-06-15,Veneto,443
Piacenza,2020-06-16,Emilia-Romagna,4527
Ravenna,2020-06-16,Emilia-Romagna,1036
Gorizia,2020-06-16,Friuli Venezia Giulia,215
Trieste,2020-06-16,Friuli Venezia Giulia,1393
Pordenone,2020-06-16,Friuli Venezia Giulia,696
Sondrio,2020-06-16,Lombardia,1541
Ragusa,2020-06-16,Sicilia,98
Rovigo,2020-06-16,Veneto,443
Piacenza,2020-06-17,Emilia-Romagna,4528
Ravenna,2020-06-17,Emilia-Romagna,1036
Gorizia,2020-06-17,Friuli Venezia Giulia,216
Trieste,2020-06-17,Friuli Venezia Giulia,1393
Pordenone,2020-06-17,Friuli Venezia Giulia,696
Sondrio,2020-06-17,Lombardia,1542
Ragusa,2020-06-17,Sicilia,98
Rovigo,2020-06-17,Veneto,443
Piacenza,2020-06-18,Emilia-Romagna,4534
Ravenna,2020-06-18,Emilia-Romagna,1036
Gorizia,2020-06-18,Friuli Venezia Giulia,216
Trieste,2020-06-18,Friuli Venezia Giulia,1393
Pordenone,2020-06-18,Friuli Venezia Giulia,697
Sondrio,2020-06-18,Lombardia,1554
Ragusa,2020-06-18,Sicilia,98
Rovigo,2020-06-18,Veneto,443
Piacenza,2020-06-19,Emilia-Romagna,4534
Ravenna,2020-06-19,Emilia-Romagna,1036
Gorizia,2020-06-19,Friuli Venezia Giulia,216
Trieste,2020-06-19,Friuli Venezia Giulia,1393
Pordenone,2020-06-19,Friuli Venezia Giulia,698
Sondrio,2020-06-19,Lombardia,1557
Ragusa,2020-06-19,Sicilia,87
Rovigo,2020-06-19,Veneto,443
Piacenza,2020-06-20,Emilia-Romagna,4535
Ravenna,2020-06-20,Emilia-Romagna,1038
Gorizia,2020-06-20,Friuli Venezia Giulia,216
Trieste,2020-06-20,Friuli Venezia Giulia,1393
Pordenone,2020-06-20,Friuli Venezia Giulia,698
Sondrio,2020-06-20,Lombardia,1563
Ragusa,2020-06-20,Sicilia,87
Rovigo,2020-06-20,Veneto,443
Piacenza,2020-06-21,Emilia-Romagna,4536
Ravenna,2020-06-21,Emilia-Romagna,1037
Gorizia,2020-06-21,Friuli Venezia Giulia,216
Trieste,2020-06-21,Friuli Venezia Giulia,1393
Pordenone,2020-06-21,Friuli Venezia Giulia,699
Sondrio,2020-06-21,Lombardia,1567
Ragusa,2020-06-21,Sicilia,87
Rovigo,2020-06-21,Veneto,443
Piacenza,2020-06-22,Emilia-Romagna,4537
Ravenna,2020-06-22,Emilia-Romagna,1037
Gorizia,2020-06-22,Friuli Venezia Giulia,216
Trieste,2020-06-22,Friuli Venezia Giulia,1393
Pordenone,2020-06-22,Friuli Venezia Giulia,699
Sondrio,2020-06-22,Lombardia,1568
Ragusa,2020-06-22,Sicilia,87
Rovigo,2020-06-22,Veneto,443
Piacenza,2020-06-23,Emilia-Romagna,4538
Ravenna,2020-06-23,Emilia-Romagna,1037
Gorizia,2020-06-23,Friuli Venezia Giulia,216
Trieste,2020-06-23,Friuli Venezia Giulia,1393
Pordenone,2020-06-23,Friuli Venezia Giulia,699
Sondrio,2020-06-23,Lombardia,1569
Ragusa,2020-06-23,Sicilia,87
Rovigo,2020-06-23,Veneto,445
Piacenza,2020-06-24,Emilia-Romagna,4422
Ravenna,2020-06-24,Emilia-Romagna,1021
Gorizia,2020-06-24,Friuli Venezia Giulia,216
Trieste,2020-06-24,Friuli Venezia Giulia,1393
Pordenone,2020-06-24,Friuli Venezia Giulia,699
Sondrio,2020-06-24,Lombardia,1569
Ragusa,2020-06-24,Sicilia,87
Rovigo,2020-06-24,Veneto,444
Piacenza,2020-06-25,Emilia-Romagna,4423
Ravenna,2020-06-25,Emilia-Romagna,1021
Gorizia,2020-06-25,Friuli Venezia Giulia,216
Trieste,2020-06-25,Friuli Venezia Giulia,1393
Pordenone,2020-06-25,Friuli Venezia Giulia,699
Sondrio,2020-06-25,Lombardia,1575
Ragusa,2020-06-25,Sicilia,87
Rovigo,2020-06-25,Veneto,444
Piacenza,2020-06-26,Emilia-Romagna,4399
Ravenna,2020-06-26,Emilia-Romagna,1020
Gorizia,2020-06-26,Friuli Venezia Giulia,216
Trieste,2020-06-26,Friuli Venezia Giulia,1393
Pordenone,2020-06-26,Friuli Venezia Giulia,701
Sondrio,2020-06-26,Lombardia,1582
Ragusa,2020-06-26,Sicilia,87
Rovigo,2020-06-26,Veneto,444
Piacenza,2020-06-27,Emilia-Romagna,4427
Ravenna,2020-06-27,Emilia-Romagna,1028
Gorizia,2020-06-27,Friuli Venezia Giulia,216
Trieste,2020-06-27,Friuli Venezia Giulia,1393
Pordenone,2020-06-27,Friuli Venezia Giulia,701
Sondrio,2020-06-27,Lombardia,1582
Ragusa,2020-06-27,Sicilia,87
Rovigo,2020-06-27,Veneto,444
Piacenza,2020-06-28,Emilia-Romagna,4427
Ravenna,2020-06-28,Emilia-Romagna,1030
Gorizia,2020-06-28,Friuli Venezia Giulia,216
Trieste,2020-06-28,Friuli Venezia Giulia,1393
Pordenone,2020-06-28,Friuli Venezia Giulia,702
Sondrio,2020-06-28,Lombardia,1584
Ragusa,2020-06-28,Sicilia,87
Rovigo,2020-06-28,Veneto,444
Piacenza,2020-06-29,Emilia-Romagna,4428
Ravenna,2020-06-29,Emilia-Romagna,1030
Gorizia,2020-06-29,Friuli Venezia Giulia,216
Trieste,2020-06-29,Friuli Venezia Giulia,1393
Pordenone,2020-06-29,Friuli Venezia Giulia,702
Sondrio,2020-06-29,Lombardia,1584
Ragusa,2020-06-29,Sicilia,87
Rovigo,2020-06-29,Veneto,444
Piacenza,2020-06-30,Emilia-Romagna,4428
Ravenna,2020-06-30,Emilia-Romagna,1030
Gorizia,2020-06-30,Friuli Venezia Giulia,216
Trieste,2020-06-30,Friuli Venezia Giulia,1393
Pordenone,2020-06-30,Friuli Venezia Giulia,702
Sondrio,2020-06-30,Lombardia,1584
Ragusa,2020-06-30,Sicilia,87
Rovigo,2020-06-30,Veneto,444
