data,provincia,decessi
2020-03-21,Sondrio,17
2020-03-22,Sondrio,20
2020-03-23,Sondrio,24
2020-03-24,Sondrio,30
2020-03-25,Sondrio,35
2020-03-26,Sondrio,42
2020-03-27,Sondrio,45
2020-03-28,Sondrio,56
2020-03-29,Sondrio,63
2020-03-30,Sondrio,69
2020-03-31,Sondrio,73
2020-04-01,Sondrio,80
2020-04-02,Sondrio,85
2020-04-03,Sondrio,87
2020-04-04,Sondrio,92
2020-04-05,Sondrio,97
2020-04-06,Sondrio,100
2020-04-07,Sondrio,101
2020-04-08,Sondrio,103
2020-04-09,Sondrio,106
2020-04-10,Sondrio,109
2020-04-11,Sondrio,111
2020-04-12,Sondrio,112
2020-04-13,Sondrio,114
2020-04-14,Sondrio,117
2020-04-15,Sondrio,124
2020-04-16,Sondrio,127
2020-04-17,Sondrio,132
2020-04-18,Sondrio,135
2020-04-19,Sondrio,139
2020-04-20,Sondrio,140
2020-04-21,Sondrio,147
2020-04-22,Sondrio,147
2020-04-23,Sondrio,152
2020-04-24,Sondrio,157
2020-04-25,Sondrio,158
2020-04-26,Sondrio,159
2020-04-27,Sondrio,160
2020-04-28,Sondrio,165
2020-04-29,Sondrio,166
2020-04-30,Sondrio,167
2020-05-01,Sondrio,168
2020-05-02,Sondrio,173
2020-05-03,Sondrio,173
2020-05-04,Sondrio,175
2020-05-05,Sondrio,175
2020-05-06,Sondrio,182
2020-05-07,Sondrio,185
2020-05-08,Sondrio,188
2020-05-09,Sondrio,188
2020-05-10,Sondrio,189
2020-05-11,Sondrio,189
2020-05-12,Sondrio,189
2020-05-13,Sondrio,189
2020-05-14,Sondrio,190
2020-05-15,Sondrio,192
2020-05-16,Sondrio,192
2020-05-17,Sondrio,193
2020-05-18,Sondrio,193
2020-05-19,Sondrio,194
2020-05-20,Sondrio,196
2020-05-21,Sondrio,196
2020-05-22,Sondrio,198
2020-03-21,Piacenza,279
2020-03-22,Piacenza,312
2020-03-23,Piacenza,338
2020-03-24,Piacenza,368
2020-03-25,Piacenza,391
2020-03-26,Piacenza,420
2020-03-27,Piacenza,445
2020-03-28,Piacenza,467
2020-03-29,Piacenza,493
2020-03-30,Piacenza,514
2020-03-31,Piacenza,541
2020-04-01,Piacenza,566
2020-04-02,Piacenza,585
2020-04-03,Piacenza,603
2020-04-04,Piacenza,615
2020-04-05,Piacenza,630
2020-04-06,Piacenza,640
2020-04-07,Piacenza,653
2020-04-08,Piacenza,664
2020-04-09,Piacenza,677
2020-04-10,Piacenza,691
2020-04-11,Piacenza,697
2020-04-12,Piacenza,708
2020-04-13,Piacenza,716
2020-04-14,Piacenza,725
2020-04-15,Piacenza,734
2020-04-16,Piacenza,744
2020-04-17,Piacenza,749
2020-04-18,Piacenza,758
2020-04-19,Piacenza,773
2020-04-20,Piacenza,785
2020-04-21,Piacenza,795
2020-04-22,Piacenza,805
2020-04-23,Piacenza,809
2020-04-24,Piacenza,815
2020-04-25,Piacenza,824
2020-04-26,Piacenza,829
2020-04-27,Piacenza,839
2020-04-28,Piacenza,849
2020-04-29,Piacenza,857
2020-04-30,Piacenza,862
2020-05-01,Piacenza,868
2020-05-02,Piacenza,874
2020-05-03,Piacenza,877
2020-05-04,Piacenza,884
2020-05-05,Piacenza,887
2020-05-06,Piacenza,892
2020-05-07,Piacenza,898
2020-05-08,Piacenza,906
2020-05-09,Piacenza,911
2020-05-10,Piacenza,916
2020-05-11,Piacenza,923
2020-05-12,Piacenza,926
2020-05-13,Piacenza,927
2020-05-14,Piacenza,928
2020-05-15,Piacenza,929
2020-05-16,Piacenza,931
2020-05-17,Piacenza,931
2020-05-18,Piacenza,935
2020-05-19,Piacenza,935
2020-05-20,Piacenza,936
2020-05-21,Piacenza,938
2020-05-22,Piacenza,940
2020-03-21,Ravenna,4
2020-03-22,Ravenna,7
2020-03-23,Ravenna,8
2020-03-24,Ravenna,9
2020-03-25,Ravenna,12
2020-03-26,Ravenna,13
2020-03-27,Ravenna,14
2020-03-28,Ravenna,20
2020-03-29,Ravenna,22
2020-03-30,Ravenna,24
2020-03-31,Ravenna,29
2020-04-01,Ravenna,33
2020-04-02,Ravenna,34
2020-04-03,Ravenna,34
2020-04-04,Ravenna,36
2020-04-05,Ravenna,37
2020-04-06,Ravenna,37
2020-04-07,Ravenna,37
2020-04-08,Ravenna,38
2020-04-09,Ravenna,41
2020-04-10,Ravenna,41
2020-04-11,Ravenna,41
2020-04-12,Ravenna,43
2020-04-13,Ravenna,45
2020-04-14,Ravenna,47
2020-04-15,Ravenna,50
2020-04-16,Ravenna,51
2020-04-17,Ravenna,52
2020-04-18,Ravenna,52
2020-04-19,Ravenna,52
2020-04-20,Ravenna,53
2020-04-21,Ravenna,56
2020-04-22,Ravenna,57
2020-04-23,Ravenna,60
2020-04-24,Ravenna,60
2020-04-25,Ravenna,61
2020-04-26,Ravenna,62
2020-04-27,Ravenna,62
2020-04-28,Ravenna,62
2020-04-29,Ravenna,64
2020-04-30,Ravenna,65
2020-05-01,Ravenna,66
2020-05-02,Ravenna,66
2020-05-03,Ravenna,66
2020-05-04,Ravenna,67
2020-05-05,Ravenna,67
2020-05-06,Ravenna,68
2020-05-07,Ravenna,69
2020-05-08,Ravenna,70
2020-05-09,Ravenna,72
2020-05-10,Ravenna,72
2020-05-11,Ravenna,73
2020-05-12,Ravenna,73
2020-05-13,Ravenna,73
2020-05-14,Ravenna,74
2020-05-15,Ravenna,75
2020-05-16,Ravenna,75
2020-05-17,Ravenna,76
2020-05-18,Ravenna,76
2020-05-19,Ravenna,76
2020-05-20,Ravenna,76
2020-05-21,Ravenna,76
2020-05-22,Ravenna,77
2020-03-21,Gorizia,0
2020-03-22,Gorizia,0
2020-03-23,Gorizia,0
2020-03-24,Gorizia,0
2020-03-25,Gorizia,1
2020-03-26,Gorizia,1
2020-03-27,Gorizia,1
2020-03-28,Gorizia,1
2020-03-29,Gorizia,2
2020-03-30,Gorizia,2
2020-03-31,Gorizia,2
2020-04-01,Gorizia,2
2020-04-02,Gorizia,2
2020-04-03,Gorizia,2
2020-04-04,Gorizia,2
2020-04-05,Gorizia,2
2020-04-06,Gorizia,3
2020-04-07,Gorizia,3
2020-04-08,Gorizia,3
2020-04-09,Gorizia,3
2020-04-10,Gorizia,3
2020-04-11,Gorizia,3
2020-04-12,Gorizia,3
2020-04-13,Gorizia,3
2020-04-14,Gorizia,3
2020-04-15,Gorizia,3
2020-04-16,Gorizia,3
2020-04-17,Gorizia,3
2020-04-18,Gorizia,3
2020-04-19,Gorizia,4
2020-04-20,Gorizia,4
2020-04-21,Gorizia,4
2020-04-22,Gorizia,4
2020-04-23,Gorizia,4
2020-04-24,Gorizia,4
2020-04-25,Gorizia,4
2020-04-26,Gorizia,4
2020-04-27,Gorizia,4
2020-04-28,Gorizia,4
2020-04-29,Gorizia,4
2020-04-30,Gorizia,4
2020-05-01,Gorizia,4
2020-05-02,Gorizia,4
2020-05-03,Gorizia,4
2020-05-04,Gorizia,4
2020-05-05,Gorizia,4
2020-05-06,Gorizia,4
2020-05-07,Gorizia,4
2020-05-08,Gorizia,4
2020-05-09,Gorizia,4
2020-05-10,Gorizia,4
2020-05-11,Gorizia,4
2020-05-12,Gorizia,4
2020-05-13,Gorizia,5
2020-05-14,Gorizia,5
2020-05-15,Gorizia,5
2020-05-16,Gorizia,5
2020-05-17,Gorizia,5
2020-05-18,Gorizia,5
2020-05-19,Gorizia,5
2020-05-20,Gorizia,5
2020-05-21,Gorizia,5
2020-05-22,Gorizia,5
2020-03-21,Trieste,30
2020-03-22,Trieste,33
2020-03-23,Trieste,33
2020-03-24,Trieste,41
2020-03-25,Trieste,42
2020-03-26,Trieste,42
2020-03-27,Trieste,44
2020-03-28,Trieste,51
2020-03-29,Trieste,54
2020-03-30,Trieste,57
2020-03-31,Trieste,59
2020-04-01,Trieste,65
2020-04-02,Trieste,70
2020-04-03,Trieste,73
2020-04-04,Trieste,78
2020-04-05,Trieste,83
2020-04-06,Trieste,84
2020-04-07,Trieste,85
2020-04-08,Trieste,87
2020-04-09,Trieste,89
2020-04-10,Trieste,95
2020-04-11,Trieste,99
2020-04-12,Trieste,101
2020-04-13,Trieste,106
2020-04-14,Trieste,106
2020-04-15,Trieste,108
2020-04-16,Trieste,109
2020-04-17,Trieste,111
2020-04-18,Trieste,111
2020-04-19,Trieste,111
2020-04-20,Trieste,121
2020-04-21,Trieste,123
2020-04-22,Trieste,126
2020-04-23,Trieste,133
2020-04-24,Trieste,134
2020-04-25,Trieste,136
2020-04-26,Trieste,136
2020-04-27,Trieste,141
2020-04-28,Trieste,144
2020-04-29,Trieste,149
2020-04-30,Trieste,153
2020-05-01,Trieste,157
2020-05-02,Trieste,158
2020-05-03,Trieste,159
2020-05-04,Trieste,159
2020-05-05,Trieste,163
2020-05-06,Trieste,165
2020-05-07,Trieste,166
2020-05-08,Trieste,166
2020-05-09,Trieste,166
2020-05-10,Trieste,167
2020-05-11,Trieste,169
2020-05-12,Trieste,170
2020-05-13,Trieste,172
2020-05-14,Trieste,173
2020-05-15,Trieste,173
2020-05-16,Trieste,174
2020-05-17,Trieste,174
2020-05-18,Trieste,175
2020-05-19,Trieste,175
2020-05-20,Trieste,177
2020-05-21,Trieste,178
2020-05-22,Trieste,180
2020-03-21,Pordenone,1
2020-03-22,Pordenone,2
2020-03-23,Pordenone,4
2020-03-24,Pordenone,5
2020-03-25,Pordenone,4
2020-03-26,Pordenone,6
2020-03-27,Pordenone,7
2020-03-28,Pordenone,9
2020-03-29,Pordenone,12
2020-03-30,Pordenone,14
2020-03-31,Pordenone,16
2020-04-01,Pordenone,17
2020-04-02,Pordenone,18
2020-04-03,Pordenone,19
2020-04-04,Pordenone,20
2020-04-05,Pordenone,21
2020-04-06,Pordenone,21
2020-04-07,Pordenone,27
2020-04-08,Pordenone,29
2020-04-09,Pordenone,29
2020-04-10,Pordenone,30
2020-04-11,Pordenone,31
2020-04-12,Pordenone,33
2020-04-13,Pordenone,35
2020-04-14,Pordenone,38
2020-04-15,Pordenone,41
2020-04-16,Pordenone,43
2020-04-17,Pordenone,43
2020-04-18,Pordenone,43
2020-04-19,Pordenone,44
2020-04-20,Pordenone,48
2020-04-21,Pordenone,48
2020-04-22,Pordenone,50
2020-04-23,Pordenone,53
2020-04-24,Pordenone,53
2020-04-25,Pordenone,56
2020-04-26,Pordenone,57
2020-04-27,Pordenone,58
2020-04-28,Pordenone,60
2020-04-29,Pordenone,61
2020-04-30,Pordenone,61
2020-05-01,Pordenone,61
2020-05-02,Pordenone,61
2020-05-03,Pordenone,61
2020-05-04,Pordenone,63
2020-05-05,Pordenone,63
2020-05-06,Pordenone,64
2020-05-07,Pordenone,65
2020-05-08,Pordenone,65
2020-05-09,Pordenone,65
2020-05-10,Pordenone,66
2020-05-11,Pordenone,66
2020-05-12,Pordenone,66
2020-05-13,Pordenone,66
2020-05-14,Pordenone,66
2020-05-15,Pordenone,67
2020-05-16,Pordenone,67
2020-05-17,Pordenone,67
2020-05-18,Pordenone,67
2020-05-19,Pordenone,67
2020-05-20,Pordenone,67
2020-05-21,Pordenone,67
2020-05-22,Pordenone,67
2020-03-21,Ragusa,0
2020-03-22,Ragusa,0
2020-03-23,Ragusa,0
2020-03-24,Ragusa,0
2020-03-25,Ragusa,0
2020-03-26,Ragusa,0
2020-03-27,Ragusa,0
2020-03-28,Ragusa,0
2020-03-29,Ragusa,2
2020-03-30,Ragusa,2
2020-03-31,Ragusa,2
2020-04-01,Ragusa,2
2020-04-02,Ragusa,2
2020-04-03,Ragusa,3
2020-04-04,Ragusa,3
2020-04-05,Ragusa,3
2020-04-06,Ragusa,3
2020-04-07,Ragusa,3
2020-04-08,Ragusa,3
2020-04-09,Ragusa,3
2020-04-10,Ragusa,4
2020-04-11,Ragusa,5
2020-04-12,Ragusa,5
2020-04-13,Ragusa,5
2020-04-14,Ragusa,5
2020-04-15,Ragusa,5
2020-04-16,Ragusa,5
2020-04-17,Ragusa,5
2020-04-18,Ragusa,5
2020-04-19,Ragusa,5
2020-04-20,Ragusa,6
2020-04-21,Ragusa,6
2020-04-22,Ragusa,6
2020-04-23,Ragusa,6
2020-04-24,Ragusa,6
2020-04-25,Ragusa,6
2020-04-26,Ragusa,6
2020-04-27,Ragusa,6
2020-04-28,Ragusa,6
2020-04-29,Ragusa,6
2020-04-30,Ragusa,6
2020-05-01,Ragusa,6
2020-05-02,Ragusa,6
2020-05-03,Ragusa,6
2020-05-04,Ragusa,6
2020-05-05,Ragusa,7
2020-05-06,Ragusa,7
2020-05-07,Ragusa,7
2020-05-08,Ragusa,7
2020-05-09,Ragusa,7
2020-05-10,Ragusa,7
2020-05-11,Ragusa,7
2020-05-12,Ragusa,7
2020-05-13,Ragusa,7
2020-05-14,Ragusa,7
2020-05-15,Ragusa,7
2020-05-16,Ragusa,7
2020-05-17,Ragusa,7
2020-05-18,Ragusa,7
2020-05-19,Ragusa,7
2020-05-20,Ragusa,7
2020-05-21,Ragusa,7
2020-05-22,Ragusa,7
2020-03-21,Rovigo,1
2020-03-22,Rovigo,2
2020-03-23,Rovigo,2
2020-03-24,Rovigo,2
2020-03-25,Rovigo,2
2020-03-26,Rovigo,2
2020-03-27,Rovigo,2
2020-03-28,Rovigo,2
2020-03-29,Rovigo,2
2020-03-30,Rovigo,2
2020-03-31,Rovigo,2
2020-04-01,Rovigo,3
2020-04-02,Rovigo,4
2020-04-03,Rovigo,4
2020-04-04,Rovigo,5
2020-04-05,Rovigo,5
2020-04-06,Rovigo,6
2020-04-07,Rovigo,6
2020-04-08,Rovigo,9
2020-04-09,Rovigo,11
2020-04-10,Rovigo,13
2020-04-11,Rovigo,14
2020-04-12,Rovigo,17
2020-04-13,Rovigo,18
2020-04-14,Rovigo,18
2020-04-15,Rovigo,20
2020-04-16,Rovigo,21
2020-04-17,Rovigo,21
2020-04-18,Rovigo,21
2020-04-19,Rovigo,21
2020-04-20,Rovigo,23
2020-04-21,Rovigo,24
2020-04-22,Rovigo,24
2020-04-23,Rovigo,25
2020-04-24,Rovigo,28
2020-04-25,Rovigo,28
2020-04-26,Rovigo,28
2020-04-27,Rovigo,28
2020-04-28,Rovigo,29
2020-04-29,Rovigo,30
2020-04-30,Rovigo,31
2020-05-01,Rovigo,31
2020-05-02,Rovigo,31
2020-05-03,Rovigo,31
2020-05-04,Rovigo,31
2020-05-05,Rovigo,31
2020-05-06,Rovigo,31
2020-05-07,Rovigo,31
2020-05-08,Rovigo,31
2020-05-09,Rovigo,31
2020-05-10,Rovigo,31
2020-05-11,Rovigo,31
2020-05-12,Rovigo,31
2020-05-13,Rovigo,32
2020-05-14,Rovigo,34
2020-05-15,Rovigo,34
2020-05-16,Rovigo,34
2020-05-17,Rovigo,34
2020-05-18,Rovigo,34
2020-05-19,Rovigo,34
2020-05-20,Rovigo,34
2020-05-21,Rovigo,34
2020-05-22,Rovigo,34